Tracking of household 12
Nobody entered this location at time 0.
Nobody exited this location at time 0.
At time 900, agent 105 entered this location.
At time 900, agent 105 exited this location.
At time 900, agent 24 entered this location.
At time 900, agent 24 exited this location.
At time 900, agent 118 entered this location.
At time 900, agent 136 entered this location.
At time 900, agent 26 exited this location.
At time 900, agent 27 exited this location.
Your agent didn't infect anyone at time 900.
At time 960, agent 126 exited this location.
At time 960, agent 40 exited this location.
At time 960, agent 91 exited this location.
At time 960, agent 107 entered this location.
At time 960, agent 105 entered this location.
At time 960, agent 105 exited this location.
At time 960, agent 24 entered this location.
At time 960, agent 24 exited this location.
At time 960, agent 39 entered this location.
At time 960, agent 118 entered this location.
At time 960, agent 118 exited this location.
At time 960, agent 145 entered this location.
At time 960, agent 36 entered this location.
At time 960, agent 148 entered this location.
At time 960, agent 51 entered this location.
At time 960, agent 136 entered this location.
At time 960, agent 136 exited this location.
At time 960, agent 25 exited this location.
Your agent didn't infect anyone at time 960.
At time 1020, agent 39 exited this location.
At time 1020, agent 105 exited this location.
At time 1020, agent 118 entered this location.
At time 1020, agent 118 exited this location.
At time 1020, agent 88 entered this location.
At time 1020, agent 145 entered this location.
At time 1020, agent 145 exited this location.
At time 1020, agent 36 entered this location.
At time 1020, agent 36 exited this location.
At time 1020, agent 148 entered this location.
At time 1020, agent 148 exited this location.
At time 1020, agent 51 entered this location.
At time 1020, agent 51 exited this location.
At time 1020, agent 107 entered this location.
At time 1020, agent 107 exited this location.
At time 1020, agent 136 entered this location.
At time 1020, agent 136 exited this location.
At time 1020, agent 24 exited this location.
Your agent didn't infect anyone at time 1020.
At time 1080, agent 24 entered this location.
At time 1080, agent 36 exited this location.
At time 1080, agent 118 exited this location.
At time 1080, agent 137 entered this location.
At time 1080, agent 148 entered this location.
At time 1080, agent 148 exited this location.
At time 1080, agent 51 entered this location.
At time 1080, agent 51 exited this location.
At time 1080, agent 107 entered this location.
At time 1080, agent 107 exited this location.
At time 1080, agent 105 entered this location.
At time 1080, agent 154 entered this location.
At time 1080, agent 145 entered this location.
At time 1080, agent 145 exited this location.
At time 1080, agent 115 entered this location.
At time 1080, agent 136 entered this location.
At time 1080, agent 136 exited this location.
At time 1080, agent 88 exited this location.
At time 1080, agent 39 entered this location.
Your agent didn't infect anyone at time 1080.
At time 1140, agent 24 exited this location.
At time 1140, agent 166 entered this location.
At time 1140, agent 148 entered this location.
At time 1140, agent 148 exited this location.
At time 1140, agent 51 entered this location.
At time 1140, agent 51 exited this location.
At time 1140, agent 107 entered this location.
At time 1140, agent 107 exited this location.
At time 1140, agent 105 entered this location.
At time 1140, agent 105 exited this location.
At time 1140, agent 154 entered this location.
At time 1140, agent 154 exited this location.
At time 1140, agent 145 entered this location.
At time 1140, agent 145 exited this location.
At time 1140, agent 115 entered this location.
At time 1140, agent 115 exited this location.
At time 1140, agent 136 entered this location.
At time 1140, agent 136 exited this location.
At time 1140, agent 86 entered this location.
At time 1140, agent 39 exited this location.
At time 1140, agent 137 exited this location.
Your agent didn't infect anyone at time 1140.
At time 1200, agent 24 entered this location.
At time 1200, agent 51 exited this location.
At time 1200, agent 166 exited this location.
At time 1200, agent 107 entered this location.
At time 1200, agent 107 exited this location.
At time 1200, agent 105 entered this location.
At time 1200, agent 105 exited this location.
At time 1200, agent 154 entered this location.
At time 1200, agent 154 exited this location.
At time 1200, agent 145 entered this location.
At time 1200, agent 145 exited this location.
At time 1200, agent 5 entered this location.
At time 1200, agent 115 entered this location.
At time 1200, agent 115 exited this location.
At time 1200, agent 136 entered this location.
At time 1200, agent 136 exited this location.
At time 1200, agent 86 entered this location.
At time 1200, agent 86 exited this location.
At time 1200, agent 148 exited this location.
Your agent didn't infect anyone at time 1200.
At time 1260, agent 24 entered this location.
At time 1260, agent 24 exited this location.
At time 1260, agent 154 exited this location.
At time 1260, agent 105 exited this location.
At time 1260, agent 83 entered this location.
At time 1260, agent 136 entered this location.
At time 1260, agent 136 exited this location.
At time 1260, agent 86 entered this location.
At time 1260, agent 86 exited this location.
At time 1260, agent 37 entered this location.
At time 1260, agent 145 exited this location.
At time 1260, agent 5 exited this location.
At time 1260, agent 107 exited this location.
At time 1260, agent 115 exited this location.
Your agent didn't infect anyone at time 1260.
At time 1320, agent 27 entered this location.
At time 1320, agent 83 exited this location.
At time 1320, agent 38 entered this location.
At time 1320, agent 92 entered this location.
At time 1320, agent 37 entered this location.
At time 1320, agent 37 exited this location.
At time 1320, agent 35 entered this location.
At time 1320, agent 26 entered this location.
At time 1320, agent 24 entered this location.
At time 1320, agent 24 exited this location.
At time 1320, agent 20 entered this location.
At time 1320, agent 136 exited this location.
At time 1320, agent 86 exited this location.
Your agent didn't infect anyone at time 1320.
At time 1380, agent 37 exited this location.
At time 1380, agent 92 exited this location.
At time 1380, agent 38 exited this location.
At time 1380, agent 35 entered this location.
At time 1380, agent 35 exited this location.
At time 1380, agent 6 entered this location.
At time 1380, agent 116 entered this location.
At time 1380, agent 26 entered this location.
At time 1380, agent 26 exited this location.
At time 1380, agent 24 entered this location.
At time 1380, agent 24 exited this location.
At time 1380, agent 147 entered this location.
At time 1380, agent 20 entered this location.
At time 1380, agent 20 exited this location.
At time 1380, agent 27 entered this location.
At time 1380, agent 27 exited this location.
At time 1380, agent 154 entered this location.
Your agent didn't infect anyone at time 1380.
At time 1440, agent 26 entered this location.
At time 1440, agent 26 exited this location.
At time 1440, agent 24 entered this location.
At time 1440, agent 24 exited this location.
At time 1440, agent 35 exited this location.
At time 1440, agent 147 entered this location.
At time 1440, agent 147 exited this location.
At time 1440, agent 20 entered this location.
At time 1440, agent 20 exited this location.
At time 1440, agent 27 entered this location.
At time 1440, agent 27 exited this location.
At time 1440, agent 8 entered this location.
At time 1440, agent 154 entered this location.
At time 1440, agent 154 exited this location.
At time 1440, agent 116 exited this location.
At time 1440, agent 6 exited this location.
Your agent didn't infect anyone at time 1440.
In total, agents went to this location 181 time(s),
left the location 178 time(s),
and got infected here 2 time(s).
